date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,yr_built,yr_renovated,street,city,statezip,country,year,month,day
2014-05-02,313000.0,3,1,1340.0,7560.0,1,no,No,average,1340,0,1955,2005,18810 Densmore Ave N,Shoreline,WA 98133,USA,2014,5,2
2014-05-02,469000.0,5,2,3650.0,9466.5,2,no,excellent,excellent,3370,280,1921,0,709 W Blaine St,Seattle,WA 98119,USA,2014,5,2
2014-05-02,342000.0,3,2,1930.0,7560.0,1,no,No,good,1930,0,1966,0,26206-26214 143rd Ave SE,Kent,WA 98042,USA,2014,5,2
2014-05-02,420000.0,3,2,2000.0,7560.0,1,no,No,good,1000,1000,1963,0,857 170th Pl NE,Bellevue,WA 98008,USA,2014,5,2
2014-05-02,550000.0,4,2,1940.0,8265.0,1,no,No,good,1140,800,1976,1992,9105 170th Ave NE,Redmond,WA 98052,USA,2014,5,2
2014-05-02,490000.0,2,1,880.0,5100.0,1,no,No,average,880,0,1938,1994,522 NE 88th St,Seattle,WA 98115,USA,2014,5,2
2014-05-02,335000.0,2,2,1350.0,5100.0,1,no,No,average,1350,0,1976,0,2616 174th Ave NE,Redmond,WA 98052,USA,2014,5,2
2014-05-02,482000.0,4,2,2710.0,8265.0,2,no,No,average,2710,0,1989,0,23762 SE 253rd Pl,Maple Valley,WA 98038,USA,2014,5,2
2014-05-02,469000.0,3,2,2430.0,7560.0,1,no,No,good,1570,860,1985,0,46611-46625 SE 129th St,North Bend,WA 98045,USA,2014,5,2
2014-05-02,640000.0,4,2,1520.0,8265.0,1,no,No,average,1520,0,1945,2010,6811 55th Ave NE,Seattle,WA 98115,USA,2014,5,2
2014-05-02,463000.0,3,1,1710.0,7560.0,1,no,No,average,1710,0,1948,1994,Burke-Gilman Trail,Shoreline,WA 98155,USA,2014,5,2
2014-05-02,469000.0,4,2,2920.0,8265.0,1,no,No,excellent,1910,1010,1909,1988,3838-4098 44th Ave NE,Seattle,WA 98105,USA,2014,5,2
2014-05-02,588500.0,3,1,2330.0,7560.0,1,no,No,average,1970,360,1980,0,1833 220th Pl NE,Sammamish,WA 98074,USA,2014,5,2
2014-05-02,365000.0,3,1,1090.0,7560.0,1,no,No,good,1090,0,1955,2009,2504 SW Portland Ct,Seattle,WA 98106,USA,2014,5,2
2014-05-02,469000.0,5,2,2910.0,9480.0,1,no,No,average,2910,0,1939,1969,3534 46th Ave NE,Seattle,WA 98105,USA,2014,5,2
2014-05-02,242500.0,3,1,1200.0,9720.0,1,no,No,good,1200,0,1965,0,14034 SE 201st St,Kent,WA 98042,USA,2014,5,2
2014-05-02,419000.0,3,1,1570.0,6700.0,1,no,No,good,1570,0,1956,0,15424 SE 9th St,Bellevue,WA 98007,USA,2014,5,2
2014-05-02,367500.0,4,3,3110.0,7231.0,2,no,No,average,3110,0,1997,0,11224 SE 306th Pl,Auburn,WA 98092,USA,2014,5,2
2014-05-02,257950.0,3,1,1370.0,7683.0,1,no,No,average,1370,0,1987,2000,1605 S 245th Pl,Des Moines,WA 98198,USA,2014,5,2
2014-05-02,275000.0,3,1,1180.0,10277.0,1,no,No,average,1180,0,1983,2009,12425 415th Ave SE,North Bend,WA 98045,USA,2014,5,2
2014-05-02,750000.0,3,1,2240.0,10578.0,2,no,No,excellent,1550,690,1923,0,3225 NE 92nd St,Seattle,WA 98115,USA,2014,5,2
2014-05-02,20000.0,4,1,1450.0,8800.0,1,no,No,good,1450,0,1954,1979,3922 154th Ave SE,Bellevue,WA 98006,USA,2014,5,2
2014-05-02,626000.0,3,2,1750.0,1572.0,2,no,No,average,1470,280,2005,0,3140 Franklin Ave E,Seattle,WA 98102,USA,2014,5,2
2014-05-02,612500.0,4,2,2730.0,12261.0,2,no,No,average,2730,0,1991,0,10212 NE 156th Pl,Bothell,WA 98011,USA,2014,5,2
2014-05-02,495000.0,4,1,1600.0,6380.0,1,no,No,average,1130,470,1959,1989,2021 NE 100th St,Seattle,WA 98125,USA,2014,5,2
2014-05-02,285000.0,3,2,2090.0,10834.0,1,no,No,good,1360,730,1987,0,27736 23rd Avenue South,Federal Way,WA 98003,USA,2014,5,2
2014-05-02,615000.0,3,1,2360.0,7291.0,1,no,No,good,1360,1000,1948,0,8436-8438 41st Ave SW,Seattle,WA 98136,USA,2014,5,2
2014-05-02,698000.0,4,2,2200.0,11250.0,1,no,No,excellent,1300,900,1920,0,1036 4th St,Kirkland,WA 98033,USA,2014,5,2
2014-05-02,675000.0,5,2,2820.0,7683.0,2,no,No,average,2820,0,1979,2014,23525 SE 32nd Way,Issaquah,WA 98029,USA,2014,5,2
2014-05-02,790000.0,3,2,2600.0,4750.0,1,no,No,good,1700,900,1951,1999,3314 NW 75th St,Seattle,WA 98117,USA,2014,5,2
2014-05-02,382500.0,4,1,1560.0,8700.0,1,no,No,good,1560,0,1967,0,14104 119th Ave NE,Kirkland,WA 98034,USA,2014,5,2
2014-05-02,499950.0,4,2,2860.0,3345.0,2,no,No,average,2190,670,2004,2003,20120 137th Ave NE,Woodinville,WA 98072,USA,2014,5,2
2014-05-02,650000.0,4,2,1820.0,5000.0,1,no,poor,average,1640,180,1945,2010,7201-7399 55th Ave NE,Seattle,WA 98115,USA,2014,5,2
2014-05-02,625000.0,4,2,2820.0,8408.0,2,no,No,average,2820,0,2014,0,17052 4th Ave NE,Shoreline,WA 98155,USA,2014,5,2
2014-05-02,400000.0,4,2,3630.0,7683.0,1,no,No,average,2300,0,1979,2014,5172-5198 Heather Ave SE,Auburn,WA 98092,USA,2014,5,2
